Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)	2/452	2.895566e-02	4.999375e-02	0	0	8.683556e+00	3.075706e+01	HMGA1;AHR
GO_Biological_Process_2023	Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279)	1/51	3.018246e-02	5.091850e-02	0	0	3.625091e+01	1.268961e+02	GSTO1
GO_Biological_Process_2023	Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024)	1/51	3.018246e-02	5.091850e-02	0	0	3.625091e+01	1.268961e+02	LIMS1
GO_Biological_Process_2023	Receptor Internalization (GO:0031623)	1/51	3.018246e-02	5.091850e-02	0	0	3.625091e+01	1.268961e+02	RALA
GO_Biological_Process_2023	Cellular Response To Alcohol (GO:0097306)	1/53	3.134889e-02	5.113688e-02	0	0	3.485315e+01	1.206817e+02	AHR
GO_Biological_Process_2023	Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224)	1/53	3.134889e-02	5.113688e-02	0	0	3.485315e+01	1.206817e+02	LIMS1
GO_Biological_Process_2023	Regulation Of Macromolecule Biosynthetic Process (GO:0010556)	1/53	3.134889e-02	5.113688e-02	0	0	3.485315e+01	1.206817e+02	S100A9
GO_Biological_Process_2023	Protein K63-linked Ubiquitination (GO:0070534)	1/54	3.193162e-02	5.113688e-02	0	0	3.419383e+01	1.177690e+02	PELI1
GO_Biological_Process_2023	Mesenchymal Cell Differentiation (GO:0048762)	1/54	3.193162e-02	5.113688e-02	0	0	3.419383e+01	1.177690e+02	LIMS1
GO_Biological_Process_2023	Regulation Of Exocytosis (GO:0017157)	1/54	3.193162e-02	5.113688e-02	0	0	3.419383e+01	1.177690e+02	RALA
GO_Biological_Process_2023	Regulation Of Focal Adhesion Assembly (GO:0051893)	1/54	3.193162e-02	5.113688e-02	0	0	3.419383e+01	1.177690e+02	LIMS1
GO_Biological_Process_2023	Positive Regulation Of Gene Expression (GO:0010628)	2/480	3.235579e-02	5.144338e-02	0	0	8.163180e+00	2.800756e+01	RDX;LIMS1
GO_Biological_Process_2023	Positive Regulation Of Mitochondrion Organization (GO:0010822)	1/58	3.425934e-02	5.369727e-02	0	0	3.178788e+01	1.072458e+02	RALA
GO_Biological_Process_2023	Glycosaminoglycan Biosynthetic Process (GO:0006024)	1/58	3.425934e-02	5.369727e-02	0	0	3.178788e+01	1.072458e+02	DSE
GO_Biological_Process_2023	Positive Regulation Of Cell Junction Assembly (GO:1901890)	1/61	3.600177e-02	5.603092e-02	0	0	3.019394e+01	1.003703e+02	LIMS1
GO_Biological_Process_2023	Cell Junction Organization (GO:0034330)	1/62	3.658193e-02	5.653571e-02	0	0	2.969747e+01	9.824518e+01	LIMS1
GO_Biological_Process_2023	Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	1/63	3.716178e-02	5.703301e-02	0	0	2.921701e+01	9.619626e+01	RDX
GO_Biological_Process_2023	Regulation Of Secretion By Cell (GO:1903530)	1/64	3.774131e-02	5.752296e-02	0	0	2.875180e+01	9.421966e+01	RALA
GO_Biological_Process_2023	Monocarboxylic Acid Biosynthetic Process (GO:0072330)	1/65	3.832051e-02	5.761111e-02	0	0	2.830114e+01	9.231180e+01	DSE
GO_Biological_Process_2023	Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	1/65	3.832051e-02	5.761111e-02	0	0	2.830114e+01	9.231180e+01	S100A9
GO_Biological_Process_2023	Cell-Cell Junction Organization (GO:0045216)	1/68	4.005622e-02	5.952809e-02	0	0	2.702985e+01	8.696777e+01	LIMS1
