Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
DNA-templated Transcription (GO:0006351),0.9803529012261633,0.831335965790948,0.5101289134438306,IVNS1ABP;TAF7;UBTF;TRIP11;ZFP36L1;SMARCA5;DDX5;SETX;TBP;NFX1;TCEA2;GTF2A1;GTF2H1;DEK;HIPK3;GTF2H3;PARP1;GTF3C2;RBMX;PKNOX1;SUPT16H;POLR2I;TRIM24;CCNH;TSC22D1;MKRN2;GTF2H5;NCOA6;TAF5;TFDP1;PRMT5;TAF1B;SNAPC3;ZBTB7B;TAF12;DIDO1;MED16;DDX21;POLR3A;MEF2A;TAF5L;TP53;GTF3C6;RO60;MTERF1,wald_stat,GO_Biological_Process_2023
Cholesterol Biosynthetic Process (GO:0006695),0.9800926430268997,0.8303705974890174,0.46716697936210133,LBR;LSS;HMGCS1;INSIG2;GLB1;FDFT1;ARV1,wald_stat,GO_Biological_Process_2023
Epithelium Development (GO:0060429),0.9790614542264925,0.831569979876024,0.49335863377609107,PDCD10;KRIT1;VCL;PIH1D1;TAGLN2;WDPCP;CPT1A;PTCH1;BDH2,wald_stat,GO_Biological_Process_2023
Protein K63-linked Ubiquitination (GO:0070534),0.978680467725535,0.8309167859155054,0.4680451127819549,UBE2D4;TRIM27;TRIM22;TRIM65;UBE2B;ITCH,wald_stat,GO_Biological_Process_2023
Nucleus Organization (GO:0006997),-0.9782306097007357,0.8598557891901635,0.4718162839248434,CHMP4A;NUP54;CHMP2B;NUP133;SEH1L;TMEM170A;LMNB2;CHMP2A;USP36;VPS4A;ATXN7;DMPK,wald_stat,GO_Biological_Process_2023
Glucose Homeostasis (GO:0042593),-0.9779998880077375,0.8586918232448622,0.4970414201183432,INPP5K;POLR2D;OAS1;BAD;CRTC2;FOXK1;PIK3R1;SELENOT;FOXK2;USF1;SOX4,wald_stat,GO_Biological_Process_2023
Cellular Defense Response (GO:0006968),-0.9779930914527232,0.8568417172129088,0.4900398406374502,TCIRG1;GNLY;LSP1;KLRC2;BECN1;TYROBP;KIR3DL2;TRAT1,wald_stat,GO_Biological_Process_2023
Glycosaminoglycan Metabolic Process (GO:0030203),-0.9776162716677407,0.8561971291524292,0.5010438413361169,EXT1;IDS;XYLT1;B3GAT3;B4GALT7;CLN6,wald_stat,GO_Biological_Process_2023
Negative Regulation Of mRNA Catabolic Process (GO:1902373),0.9767158889096321,0.8350732735995652,0.5159362549800797,THRAP3;HNRNPD;CSDE1;EIF4ENIF1;SYNCRIP;PABPC1;YBX1;IREB2;NBAS,wald_stat,GO_Biological_Process_2023
Negative Regulation Of Protein Localization (GO:1903828),0.9762438486458515,0.8346250949035722,0.4990328820116054,RIPOR2;YWHAZ;GDI2;VCP;BTF3;MTOR;LEPROT;ROCK2;PICALM;COMMD1;UBXN2B;ANKRD13A;MACROH2A1;GOPC;CTNNA1,wald_stat,GO_Biological_Process_2023
Organelle Fission (GO:0048285),0.9761773869897826,0.8330800761103817,0.48091603053435117,WASHC5;PEX19;SLC25A46;MFF;MTFR1,wald_stat,GO_Biological_Process_2023
Phosphate-Containing Compound Metabolic Process (GO:0006796),0.976055005334547,0.8316874276545454,0.4952561669829222,PPP3CB;SLC20A1;PIK3CD;STAT3;PTPRC;PIK3CG;CERK;PAK2;DUSP16;DUSP18;AGPAT1;NUDT5;PFKP;TAOK1;HK1;PIK3CA;PPA2;FRA10AC1;INPP5D;PPM1A;LIMD1;MTOR,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263),0.9758439273168457,0.8306504631576418,0.48956356736242884,RNF146;USP34;UBR5;UBE2B;GSKIP;VCP;RUVBL1;PPM1B;CSNK1G1;ZEB2;ILK;CCAR2;PPM1A;TMEM9;CAPRIN2,wald_stat,GO_Biological_Process_2023
Central Nervous System Development (GO:0007417),0.9758235137249418,0.8289800495680376,0.5009560229445507,TGFBR2;STAT3;PBX3;RBBP4;UGP2;CDK5RAP3;SH3GL1;GIT2;ADGRG1;JHY;TMX2;QARS1;UBE3A;CX3CR1;RTN4;KDM4B;PTEN;POMK;NIPBL;GBA2;CDK5RAP2;PTCH1;ZNF335;NCOA6,wald_stat,GO_Biological_Process_2023
Macromolecule Catabolic Process (GO:0009057),0.975617715708431,0.8278261200759574,0.5234521575984991,PPP1R8;HNRNPD;MVB12A;ISG20;RIPK1;EXOSC2;SH3GLB1;EXOSC3;EXOSC8;TRIM24;SLC16A3;UVRAG;PIK3R4;MTOR;DIS3;REXO4;SQSTM1;MTREX;LRSAM1;RNF5;RNASEH2A,wald_stat,GO_Biological_Process_2023
Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705),0.9748990608386496,0.8281100084252994,0.483739837398374,JUN;CDKN1B;BMPR1A;PTEN,wald_stat,GO_Biological_Process_2023
"Positive Regulation Of DNA-templated Transcription, Elongation (GO:0032786)",-0.9743201325357242,0.8641771184129741,0.49203187250996017,MED10;PWWP2B;MED30;NCBP1;BRD4;ELL;EAPP;CCNT1;MED4;KAT7;MED19;CCNT2;MED17;CDK12;CDK9;MED6;TCERG1,wald_stat,GO_Biological_Process_2023
Regulation Of Arp2/3 Complex-Mediated Actin Nucleation (GO:0034315),-0.9742314991851212,0.8626022906904799,0.49056603773584906,ARF1;CARMIL2;GMFG;GMFB,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),-0.9737502365611128,0.8621793202885204,0.5038910505836576,RBM3;VIM;AKT1;YTHDF3;IRS2;EGR1;YTHDF1;LARP1B;P2RX4;CIRBP;CCL5;BCL3;STARD4;AGO2;PKD2;LPGAT1;GIPC1;SREBF1,wald_stat,GO_Biological_Process_2023
Lytic Vacuole Organization (GO:0080171),0.97358062562457,0.830147729271001,0.4898336414048059,SPG11;AKTIP;HOOK2;FHIP1B;TMEM106B;GNPTAB;MTOR;GAA,wald_stat,GO_Biological_Process_2023
Negative Regulation Of Catabolic Process (GO:0009895),-0.9731288397118729,0.8621479414741591,0.5052410901467506,GIT1;MAD2L2;PDCL3;FBP1;PIN1;CSNK2A2;MDM4;AZIN1;HIPK2;FLCN;BANP;PHB1;SNX12;CYP51A1;HMGCR,wald_stat,GO_Biological_Process_2023
Negative Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050732),-0.9726658283956054,0.8617299958470493,0.48132780082987553,PPP2CA;MVP;SOCS1;DMTN,wald_stat,GO_Biological_Process_2023
Response To Amino Acid (GO:0043200),-0.9721055144776393,0.8614202948559296,0.5021186440677966,NSMF;LAMTOR1;LAMTOR4,wald_stat,GO_Biological_Process_2023
Metallo-Sulfur Cluster Assembly (GO:0031163),-0.9719979083085384,0.858031436953684,0.503968253968254,FXN;NFU1;GLRX5;NUBP1;ISCA1;NUBP2,wald_stat,GO_Biological_Process_2023
Iron-Sulfur Cluster Assembly (GO:0016226),-0.9719979083085384,0.858031436953684,0.503968253968254,FXN;NFU1;GLRX5;NUBP1;ISCA1;NUBP2,wald_stat,GO_Biological_Process_2023
Defense Response To Symbiont (GO:0140546),0.9717522951089678,0.8336221916341916,0.49221789883268485,G3BP1;CNOT7;PTPRC;GBP5;IRF2;PRF1;ISG20;SERINC3;BNIP3;BCL2L1;CARD8;STING1;IFIT5;ZMYND11;DHX15;IFNAR2;ZNFX1;IRF3;RAB2B,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Protein Phosphorylation (GO:0001934),-0.9716348695510354,0.8573085654581671,0.5265306122448979,RAP2C;AKT1;DGKQ;CD81;MAD2L2;VEGFB;SPRY2;CSNK2B;CALM3;MAP2K3;TGFB1;MYDGF;RAC1;FLOT1;CSNK1D;PRKAG1;FNIP1;PTPRJ;PIN1;LRP8;LATS1;AXIN1;TNK2;GDF11;PRKAG2;TESK1;LYN;HLA-DRB1;TAOK2;PINK1;CALM1;ATG14;RIPK2;BRAF;ENG;ARRB1;DDX3X;SNX9;PAK1;MMD;TXN,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Secretion By Cell (GO:1903532),-0.9716090959678535,0.8555421799332684,0.5059523809523809,GRK2;TMED10;TGFB1;P2RX4;TTN;S100A10;ARF6,wald_stat,GO_Biological_Process_2023
Phosphatidylinositol Phosphate Biosynthetic Process (GO:0046854),0.9699945917652492,0.836940535664199,0.5269230769230769,PIK3CD;PIK3CG;SMG1;PI4K2B;ITPKB;PIK3CA;UVRAG;EFR3A;PIK3R4;PIK3R2;PIK3R3,wald_stat,GO_Biological_Process_2023
Defense Response To Virus (GO:0051607),0.969442993442478,0.8368884251628693,0.5239923224568138,G3BP1;CNOT7;PTPRC;GBP5;IRF2;PHB2;PRF1;ISG20;SERINC3;TRIM35;BNIP3;BCL2L1;SENP7;CARD8;STING1;IFIT5;NCK1;ZMYND11;DHX15;IFNAR2;ZNFX1;IRF3;RAB2B,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Neuron Projection Development (GO:0010976),0.9690121550598715,0.8364227579185667,0.5095057034220533,S100A9;SETX;CAPRIN1;DHX36;NPTN;SNX3;NTRK1;ITGA6;RAP1A;CAPRIN2,wald_stat,GO_Biological_Process_2023
Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033143),0.9687326895279487,0.8355361450278159,0.49809885931558934,DDX5;UFL1;RNF14;PRMT2,wald_stat,GO_Biological_Process_2023
Amino Acid Transmembrane Transport (GO:0003333),0.9683841334567611,0.8347799452581725,0.4959349593495935,SFXN1;SLC25A22;SLC25A13;SLC36A1;MFSD12;SLC38A9;SLC7A6,wald_stat,GO_Biological_Process_2023
Negative Regulation Of Cell Projection Organization (GO:0031345),-0.9672132608162546,0.8670353987734583,0.5079681274900398,SPRY2;MYLIP;EPHA4;GAK;RTN4R,wald_stat,GO_Biological_Process_2023
Substantia Nigra Development (GO:0021762),-0.9670927236706861,0.8655536202275355,0.4871244635193133,CDC42;CALM3;CHKB;YWHAE;MAPKAP1;CALM1;NDUFS3,wald_stat,GO_Biological_Process_2023
Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining (GO:2001032),0.9669164666333363,0.8371941813870581,0.5277246653919694,SMCHD1;PRKDC;CYREN,wald_stat,GO_Biological_Process_2023
Negative Regulation Of Wnt Signaling Pathway (GO:0030178),0.9658670027986328,0.8385804801664131,0.5183044315992292,CCDC88C;STK4;HDAC1;VGLL4;JADE1;RACK1;CSNK1A1;TLE3;TLE1;RBX1;LIMD1;NPHP3,wald_stat,GO_Biological_Process_2023
Internal Peptidyl-Lysine Acetylation (GO:0018393),0.9654276550056322,0.8380747523466531,0.49706457925636005,MORF4L2;BRD8;TRRAP;EP400;RUVBL1;MORF4L1;KAT2A;TADA2A;TAF12;SUPT3H;MRGBP;TAF5L;PHF20L1;ACTL6A;TADA3;TAF9;EPC2;VPS72;DMAP1,wald_stat,GO_Biological_Process_2023
Modification-Dependent Protein Catabolic Process (GO:0019941),0.9638432527114261,0.8408960534232203,0.553072625698324,UBE2D4;UBE2D2;PPP1R11;RNF146;TTC3;UBE2H;RNF20;UBE3B;PSMD11;RFFL;RNF14;KLHL22;UBL4A;ARIH1;RNF149;UBE2B;FEM1C;UBE4A;ITCH;SYVN1;NDFIP1;KEAP1;MKRN2;RBX1;ANKIB1;PSMD13;HACE1;RNF185;UBL7;FBXL4;UBE2R2;RNF8;SQSTM1;UBE3C;UBE2D3;HERC6;RNF213;PCYOX1;RNF5;UBE2L3;NAE1;UBE2E1;UBQLN4;UBA52;TAF1,wald_stat,GO_Biological_Process_2023
Actin Cytoskeleton Reorganization (GO:0031532),0.9624909561888929,0.8429803301356652,0.5143953934740882,TNIK;PLEK;PIP5K1A;PTPN1;S1PR1;SIPA1L1;WHAMM;EZR,wald_stat,GO_Biological_Process_2023
Golgi Vesicle Transport (GO:0048193),0.9619128072610302,0.8429443889152216,0.563953488372093,TRAPPC12;GOLPH3;MIA3;ARF4;TRIP11;ERGIC2;VPS51;PREB;GCC2;SCAMP1;TRAPPC6B;LMAN1;ARCN1;COPB1;SPIRE1;USO1;SNX3;SCAMP2;SLC10A7;COG7;SNX1;SNX8;TRAPPC1;RAB8B;PICK1;TRAPPC4;UVRAG;VAPB;ZW10;WHAMM;BET1;YIF1A;RAB6A;COG6;NBAS;COPB2;VTI1B;RAB29,wald_stat,GO_Biological_Process_2023
Regulation Of Vesicle-Mediated Transport (GO:0060627),0.9614807546646571,0.84255309952539,0.4959016393442623,MAP2K1;RAB11A;RALA;SEPTIN2;PTPN1;SNX17;BET1L;VAMP2;RAB8B,wald_stat,GO_Biological_Process_2023
Cellular Response To Metal Ion (GO:0071248),0.9613856353082655,0.8411263353849119,0.5328467153284672,SMPD1;JUN;ADD1;RASGRP2;NEK7;CPNE3;CDKN1B;DAXX;BNIP3,wald_stat,GO_Biological_Process_2023
