Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Positive Regulation Of T Cell Cytokine Production (GO:0002726)	1/21	6.284191e-03	1.036892e-02	0	0	1.997400e+02	1.012625e+03	XCL1
GO_Biological_Process_2023	Positive Regulation Of Granulocyte Chemotaxis (GO:0071624)	1/21	6.284191e-03	1.036892e-02	0	0	1.997400e+02	1.012625e+03	XCL1
GO_Biological_Process_2023	Negative Regulation Of Interleukin-2 Production (GO:0032703)	1/21	6.284191e-03	1.036892e-02	0	0	1.997400e+02	1.012625e+03	XCL1
GO_Biological_Process_2023	Natural Killer Cell Mediated Immunity (GO:0002228)	1/22	6.582617e-03	1.068326e-02	0	0	1.902190e+02	9.555317e+02	KIR3DL1
GO_Biological_Process_2023	Positive Regulation Of Neutrophil Migration (GO:1902624)	1/23	6.880968e-03	1.098735e-02	0	0	1.815636e+02	9.040046e+02	XCL1
GO_Biological_Process_2023	Natural Killer Cell Mediated Cytotoxicity (GO:0042267)	1/24	7.179245e-03	1.128167e-02	0	0	1.736609e+02	8.572875e+02	KIR3DL1
GO_Biological_Process_2023	Regulation Of Neutrophil Chemotaxis (GO:0090022)	1/25	7.477447e-03	1.156668e-02	0	0	1.664167e+02	8.147533e+02	XCL1
GO_Biological_Process_2023	Negative Regulation Of Type II Interferon Production (GO:0032689)	1/28	8.371605e-03	1.275060e-02	0	0	1.479037e+02	7.074101e+02	XCL1
GO_Biological_Process_2023	Positive Regulation Of Interleukin-10 Production (GO:0032733)	1/30	8.967338e-03	1.345101e-02	0	0	1.376897e+02	6.490920e+02	XCL1
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Migration (GO:0002687)	1/31	9.265092e-03	1.369021e-02	0	0	1.330933e+02	6.230766e+02	XCL1
GO_Biological_Process_2023	Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916)	1/33	9.860378e-03	1.394539e-02	0	0	1.247625e+02	5.763068e+02	XCL1
GO_Biological_Process_2023	Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281)	1/33	9.860378e-03	1.394539e-02	0	0	1.247625e+02	5.763068e+02	XCL1
GO_Biological_Process_2023	Positive Regulation Of Cytokine Production Involved In Immune Response (GO:0002720)	1/33	9.860378e-03	1.394539e-02	0	0	1.247625e+02	5.763068e+02	XCL1
GO_Biological_Process_2023	Positive Regulation Of Immunoglobulin Production (GO:0002639)	1/34	1.015791e-02	1.416384e-02	0	0	1.209758e+02	5.552186e+02	XCL1
GO_Biological_Process_2023	Negative Regulation Of Sequestering Of Calcium Ion (GO:0051283)	1/36	1.075275e-02	1.458249e-02	0	0	1.140514e+02	5.169488e+02	XCL1
GO_Biological_Process_2023	Regulation Of T Cell Mediated Cytotoxicity (GO:0001914)	1/36	1.075275e-02	1.458249e-02	0	0	1.140514e+02	5.169488e+02	XCL1
GO_Biological_Process_2023	Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702)	1/38	1.134729e-02	1.497842e-02	0	0	1.078757e+02	4.831510e+02	XCL1
GO_Biological_Process_2023	Response To Transforming Growth Factor Beta (GO:0071559)	1/38	1.134729e-02	1.497842e-02	0	0	1.078757e+02	4.831510e+02	XCL1
GO_Biological_Process_2023	Release Of Sequestered Calcium Ion Into Cytosol (GO:0051209)	1/39	1.164445e-02	1.516842e-02	0	0	1.050316e+02	4.676978e+02	XCL1
GO_Biological_Process_2023	Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427)	1/42	1.253548e-02	1.611704e-02	0	0	9.733171e+01	4.262343e+02	XCL1
GO_Biological_Process_2023	Positive Regulation Of T Cell Mediated Immunity (GO:0002711)	1/43	1.283234e-02	1.628720e-02	0	0	9.500952e+01	4.138412e+02	XCL1
GO_Biological_Process_2023	Positive Regulation Of Chemotaxis (GO:0050921)	1/44	1.312912e-02	1.645295e-02	0	0	9.279535e+01	4.020750e+02	XCL1
GO_Biological_Process_2023	Regulation Of Interleukin-10 Production (GO:0032653)	1/46	1.372248e-02	1.698156e-02	0	0	8.866222e+01	3.802475e+02	XCL1
GO_Biological_Process_2023	Regulation Of Interleukin-2 Production (GO:0032663)	1/47	1.401904e-02	1.713438e-02	0	0	8.673043e+01	3.701082e+02	XCL1
GO_Biological_Process_2023	Cellular Defense Response (GO:0006968)	1/48	1.431553e-02	1.728338e-02	0	0	8.488085e+01	3.604389e+02	KIR3DL2
GO_Biological_Process_2023	Blood Circulation (GO:0008015)	1/50	1.490828e-02	1.770883e-02	0	0	8.140816e+01	3.423896e+02	XCL2
GO_Biological_Process_2023	Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279)	1/51	1.520455e-02	1.770883e-02	0	0	7.977600e+01	3.339551e+02	XCL1
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912)	1/51	1.520455e-02	1.770883e-02	0	0	7.977600e+01	3.339551e+02	XCL1
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Chemotaxis (GO:0002690)	1/54	1.609291e-02	1.852555e-02	0	0	7.524906e+01	3.107317e+02	XCL1
GO_Biological_Process_2023	Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)	1/83	2.464597e-02	2.804541e-02	0	0	4.856585e+01	1.798463e+02	XCL1
GO_Biological_Process_2023	Regulation Of Type II Interferon Production (GO:0032649)	1/87	2.582082e-02	2.904843e-02	0	0	4.629767e+01	1.692909e+02	XCL1
GO_Biological_Process_2023	Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)	1/96	2.845994e-02	3.162808e-02	0	0	4.189263e+01	1.491067e+02	XCL1
GO_Biological_Process_2023	Regulation Of Defense Response (GO:0031347)	1/97	2.875280e-02	3.162808e-02	0	0	4.145417e+01	1.471217e+02	XCL1
GO_Biological_Process_2023	Regulation Of Response To External Stimulus (GO:0032101)	1/127	3.750467e-02	4.080178e-02	0	0	3.153651e+01	1.035435e+02	XCL1
GO_Biological_Process_2023	Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433)	1/149	4.388085e-02	4.721961e-02	0	0	2.681892e+01	8.384338e+01	XCL1
GO_Biological_Process_2023	Cellular Response To Growth Factor Stimulus (GO:0071363)	1/155	4.561368e-02	4.855650e-02	0	0	2.576623e+01	7.955447e+01	XCL1
GO_Biological_Process_2023	Negative Regulation Of Cytokine Production (GO:0001818)	1/178	5.223200e-02	5.501030e-02	0	0	2.239209e+01	6.610279e+01	XCL1
GO_Biological_Process_2023	Regulation Of Inflammatory Response (GO:0050727)	1/240	6.988245e-02	7.282487e-02	0	0	1.653138e+01	4.398902e+01	XCL1
GO_Biological_Process_2023	Positive Regulation Of Cytokine Production (GO:0001819)	1/320	9.225171e-02	9.513458e-02	0	0	1.233542e+01	2.939821e+01	XCL1
GO_Biological_Process_2023	Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	1/456	1.292503e-01	1.319153e-01	0	0	8.588571e+00	1.757225e+01	XCL1
GO_Biological_Process_2023	Negative Regulation Of DNA-templated Transcription (GO:0045892)	1/1025	2.707215e-01	2.734840e-01	0	0	3.705078e+00	4.841295e+00	XCL1
GO_Biological_Process_2023	Regulation Of DNA-templated Transcription (GO:0006355)	1/1922	4.546339e-01	4.546339e-01	0	0	1.881624e+00	1.483214e+00	XCL1
Reactome_2022	Chemokine Receptors Bind Chemokines R-HSA-380108	2/56	1.146720e-04	3.669504e-03	0	0	1.846296e+02	1.675225e+03	XCL2;XCL1
Reactome_2022	Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	2/123	5.537192e-04	8.859507e-03	0	0	8.211983e+01	6.158046e+02	KIR3DL1;KIR3DL2
Reactome_2022	Adaptive Immune System R-HSA-1280218	3/733	9.024544e-04	9.626180e-03	0	0	2.638904e+01	1.849975e+02	KIR3DL1;MAP3K8;KIR3DL2
Reactome_2022	Peptide Ligand-Binding Receptors R-HSA-375276	2/196	1.396614e-03	1.043888e-02	0	0	5.103093e+01	3.354623e+02	XCL2;XCL1
Reactome_2022	G Alpha (Q) Signaling Events R-HSA-416476	2/212	1.631075e-03	1.043888e-02	0	0	4.710476e+01	3.023427e+02	XCL2;XCL1
Reactome_2022	Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	2/327	3.827592e-03	2.041383e-02	0	0	3.026000e+01	1.684126e+02	XCL2;XCL1
Reactome_2022	MAP3K8 (TPL2)-dependent MAPK1/3 Activation R-HSA-5684264	1/16	4.790942e-03	2.190145e-02	0	0	2.663867e+02	1.422779e+03	MAP3K8
Reactome_2022	CD28 Dependent PI3K/Akt Signaling R-HSA-389357	1/23	6.880968e-03	2.625443e-02	0	0	1.815636e+02	9.040046e+02	MAP3K8
Reactome_2022	GPCR Ligand Binding R-HSA-500792	2/458	7.384057e-03	2.625443e-02	0	0	2.142325e+01	1.051545e+02	XCL2;XCL1
Reactome_2022	CD28 Co-Stimulation R-HSA-389356	1/34	1.015791e-02	3.250531e-02	0	0	1.209758e+02	5.552186e+02	MAP3K8
Reactome_2022	GPCR Downstream Signaling R-HSA-388396	2/619	1.320583e-02	3.841696e-02	0	0	1.570259e+01	6.794664e+01	XCL2;XCL1
Reactome_2022	Immune System R-HSA-168256	3/1943	1.461697e-02	3.897858e-02	0	0	9.306186e+00	3.932396e+01	KIR3DL1;MAP3K8;KIR3DL2
Reactome_2022	Signaling By GPCR R-HSA-372790	2/689	1.621011e-02	3.990180e-02	0	0	1.405167e+01	5.792269e+01	XCL2;XCL1
Reactome_2022	MAP Kinase Activation R-HSA-450294	1/62	1.845859e-02	4.104934e-02	0	0	6.535410e+01	2.609083e+02	MAP3K8
Reactome_2022	Costimulation By CD28 Family R-HSA-388841	1/68	2.022974e-02	4.104934e-02	0	0	5.948358e+01	2.320218e+02	MAP3K8
Reactome_2022	Interleukin-17 Signaling R-HSA-448424	1/69	2.052467e-02	4.104934e-02	0	0	5.860588e+01	2.277499e+02	MAP3K8
Reactome_2022	MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871	1/96	2.845994e-02	4.316198e-02	0	0	4.189263e+01	1.491067e+02	MAP3K8
Reactome_2022	TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138	1/101	2.992354e-02	4.316198e-02	0	0	3.978800e+01	1.396205e+02	MAP3K8
Reactome_2022	MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155	1/102	3.021604e-02	4.316198e-02	0	0	3.939208e+01	1.378480e+02	MAP3K8
Reactome_2022	Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164	1/103	3.050846e-02	4.316198e-02	0	0	3.900392e+01	1.361140e+02	MAP3K8
Reactome_2022	Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181	1/103	3.050846e-02	4.316198e-02	0	0	3.900392e+01	1.361140e+02	MAP3K8
Reactome_2022	Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138	1/106	3.138530e-02	4.316198e-02	0	0	3.788381e+01	1.311316e+02	MAP3K8
Reactome_2022	MyD88-independent TLR4 Cascade R-HSA-166166	1/107	3.167743e-02	4.316198e-02	0	0	3.752453e+01	1.295403e+02	MAP3K8
Reactome_2022	MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058	1/112	3.313699e-02	4.316198e-02	0	0	3.582523e+01	1.220603e+02	MAP3K8
Reactome_2022	Interleukin-1 Signaling R-HSA-9020702	1/114	3.372030e-02	4.316198e-02	0	0	3.518761e+01	1.192739e+02	MAP3K8
Reactome_2022	Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016	1/140	4.127668e-02	5.080206e-02	0	0	2.856835e+01	9.106039e+01	MAP3K8
Reactome_2022	Interleukin-1 Family Signaling R-HSA-446652	1/152	4.474759e-02	5.303418e-02	0	0	2.628212e+01	8.165112e+01	MAP3K8
Reactome_2022	Toll-like Receptor Cascades R-HSA-168898	1/162	4.763202e-02	5.443659e-02	0	0	2.463727e+01	7.500200e+01	MAP3K8
Reactome_2022	Signaling By Interleukins R-HSA-449147	1/453	1.284480e-01	1.417357e-01	0	0	8.646903e+00	1.774545e+01	MAP3K8
Reactome_2022	Signal Transduction R-HSA-162582	2/2465	1.626664e-01	1.735108e-01	0	0	3.558871e+00	6.463102e+00	XCL2;XCL1
Reactome_2022	Cytokine Signaling In Immune System R-HSA-1280215	1/702	1.929839e-01	1.992092e-01	0	0	5.504422e+00	9.055592e+00	MAP3K8
Reactome_2022	Innate Immune System R-HSA-168249	1/1035	2.730248e-01	2.730248e-01	0	0	3.667311e+00	4.760877e+00	MAP3K8
