Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Signaling By FGFR2 In Disease R-HSA-5655253,-1.5114571613372165,0.3065023414020456,0.04114490161001789,NRAS;POLR2C;POLR2D;POLR2G;NCBP1;PIK3R1;POLR2E;POLR2J,wald_stat,Reactome_2022
Macroautophagy R-HSA-1632852,-1.511140513435495,0.30131993466336354,0.015432098765432098,MAP1LC3B;WDR45B;LAMTOR1;CSNK2B;ULK1;CHMP4B;LAMTOR4;DYNLL2;PRKAG1;ATG7;CHMP2B;TOMM22;GABARAPL1;ATG4D;DYNC1LI1;BECN1;UBB;DYNC1LI2;CSNK2A2;WIPI1;LAMTOR5;ATG4B;PGAM5;USP30;PRKAG2;TOMM5;PINK1;MLST8;CHMP2A;ATG14,wald_stat,Reactome_2022
"BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108",-1.5109033417771554,0.29601651018490477,0.04275092936802974,CREBBP;NCOA1;CARM1;BMAL1;NOCT;TBL1X,wald_stat,Reactome_2022
RHOQ GTPase Cycle R-HSA-9013406,-1.507075413215627,0.2987077781670468,0.030456852791878174,PKN1;CDC42;GIT1;LAMTOR1;ARHGEF7;ARHGAP21;PREX1;CPNE8;RHOQ;PKN2;ARHGAP26;ARHGAP5,wald_stat,Reactome_2022
G-protein Beta:Gamma Signaling R-HSA-397795,-1.506372722522263,0.2946362751789524,0.04521739130434783,PKN1;CDC42;AKT1;GNB1;GNGT2,wald_stat,Reactome_2022
Cilium Assembly R-HSA-5617833,1.5061682270519057,0.7522316655976052,0.001,CEP57;TUBA1A;CKAP5;ARF4;TRIP11;CEP250;RAB11A;TCP1;ARL13B;CCT3;KIF3B;HAUS1;CNTRL;IFT57;HAUS4;PTGES2;CEP290;SEPTIN2;BBS2;PDE6D;DYNLL1;PCNT;HDAC6;CCT8;SCLT1;TMEM216;TUBB;CCT4;IFT27;CEP78;DYNC2I1;EXOC1;CEP162;CDK5RAP2;SFI1;CEP89;PRKD2;PAFAH1B1;DYNC2H1;CCT2,wald_stat,Reactome_2022
Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,-1.5059397574770896,0.29014747338256874,0.0341726618705036,NRAS;GIT1;ARHGEF7;PRKAG1;KPNA2;PRKCA;PRKAR2A;CALM1;CASK;PRKAG2,wald_stat,Reactome_2022
RHO GTPases Activate ROCKs R-HSA-5627117,-1.5031195153044987,0.29129224203252113,0.04512635379061372,LIMK1;PKN1;RHOC;MYL6,wald_stat,Reactome_2022
Class B/2 (Secretin Family Receptors) R-HSA-373080,-1.4982041259467267,0.29604011426418014,0.03169014084507042,GNAS;GNB1;VIPR2;GNGT2;PTRH2;PTCH2,wald_stat,Reactome_2022
Signaling By FGFR4 R-HSA-5654743,-1.4855149450363807,0.32001999838791784,0.04059040590405904,NRAS;SPRY2;PPP2CA;PPP2CB;PIK3R1;MKNK1;UBB,wald_stat,Reactome_2022
CDC42 GTPase Cycle R-HSA-9013148,-1.4826023591362865,0.32148489260298063,0.007911392405063292,ARHGAP4;PKN1;ARHGDIA;CDC42;GIT1;LAMTOR1;ARHGEF7;PLEKHG2;ARHGAP21;PREX1;CPNE8;GNA13;MYO9B;PKN2;ARHGAP26;PIK3R1;ARHGAP5;ARHGAP9;WIPF2,wald_stat,Reactome_2022
Transcription Of HIV Genome R-HSA-167172,-1.4819071177774044,0.31786661903615515,0.014950166112956811,ELOA;TAF11;TAF10;ERCC3;POLR2C;POLR2D;POLR2G;ELOB;RNMT;TAF15;NCBP1;MNAT1;ELL;TAF4;CCNT1;POLR2E;CDK7;NELFCD;CCNT2;POLR2J;NELFA;CDK9,wald_stat,Reactome_2022
Platelet Aggregation (Plug Formation) R-HSA-76009,1.4716890897489858,0.8838411862650565,0.05947136563876652,RASGRP1;RASGRP2;CRK;APBB1IP;RAP1B;PTPN1;CSK;RAP1A,wald_stat,Reactome_2022
Transport Of Mature mRNA Derived From An Intron-Containing Transcript R-HSA-159236,-1.4702649609101837,0.3399452495248513,0.019064124783362217,U2AF2;RBM8A;ALYREF;MAGOH;RNPS1;SLU7;SARNP;NUP54;THOC7;SRSF9;DDX39A;NUP133;NCBP1;SEH1L;SRSF5;SEC13;SRSF2,wald_stat,Reactome_2022
Autophagy R-HSA-9612973,-1.4697222671273262,0.33560860044706214,0.019461077844311378,MAP1LC3B;WDR45B;LAMTOR1;VPS37B;CSNK2B;ULK1;CHMP4B;LAMTOR4;DYNLL2;PRKAG1;ATG7;CHMP2B;TOMM22;GABARAPL1;ATG4D;DYNC1LI1;BECN1;UBB;DYNC1LI2;CSNK2A2;WIPI1;UBAP1;LAMTOR5;ATG4B;PGAM5;USP30;PRKAG2;TOMM5;PINK1;MLST8;CHMP2A;ATG14,wald_stat,Reactome_2022
Integrin Signaling R-HSA-354192,1.4691742531426453,0.8344153373289825,0.0651685393258427,RASGRP1;RASGRP2;CRK;APBB1IP;RAP1B;PTPN1;CSK;RAP1A,wald_stat,Reactome_2022
RAB Geranylgeranylation R-HSA-8873719,-1.4636096278410624,0.34614599022958176,0.04006968641114982,RAB5C;RAB1A;RABGGTA;RAB14;RAB2A;PTP4A2;RABGGTB;RAB22A;RAB4A;RAB30;RAB21;RAB18;RAB27B;RAB40B,wald_stat,Reactome_2022
Signaling By FGFR1 R-HSA-5654736,-1.4601748644637884,0.34884075359752736,0.04981549815498155,NRAS;SPRY2;PPP2CA;PPP2CB;PIK3R1;MKNK1;UBB,wald_stat,Reactome_2022
Negative Regulation Of FGFR1 Signaling R-HSA-5654726,-1.4588838977391303,0.34682260481948296,0.06378986866791744,SPRY2;PPP2CA;PPP2CB;MKNK1;UBB;BRAF,wald_stat,Reactome_2022
G Alpha (12/13) Signaling Events R-HSA-416482,-1.454603658669505,0.35152870644332096,0.04317789291882556,GNB1;ARHGEF7;PLEKHG2;RHOC;PREX1;SOS2;GNA13;GNGT2;TRIO;VAV3;ARHGEF1;GNA12;ARHGEF10,wald_stat,Reactome_2022
RIP-mediated NFkB Activation Via ZBP1 R-HSA-1810476,-1.453561451106453,0.34895056205587627,0.06666666666666667,ZBP1;NFKBIB;NFKB1;IKBKB;RIPK3,wald_stat,Reactome_2022
VxPx Cargo-Targeting To Cilium R-HSA-5620916,1.4521603761624822,0.8670352210420269,0.07234042553191489,ARF4;RAB11A;PTGES2;EXOC1;PRKD2,wald_stat,Reactome_2022
DARPP-32 Events R-HSA-180024,1.449065086642007,0.8302266568639176,0.07095343680709534,PPP3CB;PRKACB;PRKAR1A;PPP3CC;PPP2R5D,wald_stat,Reactome_2022
Beta-catenin Independent WNT Signaling R-HSA-3858494,-1.4488190436046111,0.3550220801224993,0.01889763779527559,NRAS;TCF7;RYK;GNB1;CLTB;PSMF1;GNGT2;PSMD6;PSMB6;PRKCA;TNRC6A;AGO4;UBB;AGO2;PSME4;CALM1;PRKCB;NFATC1;PDE6G;PSMA1;PSME2;PLCB1;PSMB3;PSME1;SMURF1;PLCB2;PSMD9;PFN1;AP2A1;PDE6B;PSMC2;PSMD7;PSMC3;AP2M1;ARRB2;ITPR3;AP2A2,wald_stat,Reactome_2022
Neurotransmitter Release Cycle R-HSA-112310,1.4430286885566643,0.8126155529562691,0.07709251101321586,ARL6IP5;SLC1A7;LIN7B;HSPA8;ABAT;PPFIA1;VAMP2;SH2D3C,wald_stat,Reactome_2022
G2/M DNA Damage Checkpoint R-HSA-69473,1.440906670658935,0.7778954047273049,0.043478260869565216,H2BC15;RPA3;RFC5;RFC4;YWHAZ;YWHAB;YWHAH;HERC2;MDC1;RAD17;ATRIP;YWHAQ;MRE11;RNF8;REXO2;H2BC9;TP53;ATM;H2BC12;NSD2,wald_stat,Reactome_2022
NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569,-1.4380385069262243,0.37627169920386594,0.052346570397111915,NCOA1;TNRC6A;AGO4;ARL4C;AGO2;TBL1X;GPS2;NR1H3;EP300;NCOR1;NCOR2;TNRC6C,wald_stat,Reactome_2022
RNA Pol II CTD Phosphorylation And Interaction With CE R-HSA-77075,-1.4374850271487654,0.3720544984762304,0.06968641114982578,ERCC3;POLR2C;POLR2D;POLR2G;RNMT;MNAT1;POLR2E;CDK7;POLR2J,wald_stat,Reactome_2022
Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995,-1.4370809081499833,0.36769019400282127,0.0721830985915493,GALNT3;NOTCH1;POMT1;LFNG;ADAMTS10,wald_stat,Reactome_2022
Transport Of Mature Transcript To Cytoplasm R-HSA-72202,-1.433560667989286,0.37174514052295193,0.015332197614991482,U2AF2;RBM8A;ALYREF;MAGOH;WDR33;RNPS1;SLU7;SARNP;NUP54;THOC7;SRSF9;DDX39A;NUP133;NCBP1;SEH1L;SRSF5;SEC13;SRSF2,wald_stat,Reactome_2022
Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185,-1.4313357187900815,0.3719923443668959,0.07076350093109869,CHST7;CHSY1;UST;B3GALT6;IDS;XYLT1;B3GAT3;CHST11;DSE;B4GALT7,wald_stat,Reactome_2022
Iron Uptake And Transport R-HSA-917937,-1.4311057527985815,0.3676107204751521,0.04895104895104895,FTL;FTH1;TCIRG1;ATP6V1H;ACO1;CAND1;ATP6V0C;UBB;FBXL5;ATP6V1G1,wald_stat,Reactome_2022
Glycosaminoglycan Metabolism R-HSA-1630316,-1.4285004922360105,0.3689873597941533,0.041237113402061855,CHST7;CHSY1;B3GNT7;B3GNT2;SLC35D2;B4GALT4;UST;B3GALT6;SLC9A1;IDS;EXT1;XYLT1;HS6ST1;B3GAT3;PAPSS1;B4GALT1;NAGLU;CHORDC1;CHST11;DSE;B4GALT7,wald_stat,Reactome_2022
ER To Golgi Anterograde Transport R-HSA-199977,-1.4266448339612365,0.3688811789042067,0.02843601895734597,RAB1A;TFG;NAPG;TRAPPC10;STX5;SEC24C;PPP6R1;DCTN4;TRAPPC2L;TRAPPC6A;DYNLL2;SEC24B;CSNK1D;COG3;DCTN3;TBC1D20;TMED2;DYNC1LI1;DYNC1LI2;CAPZA2;SEC24A;SEC13;TRAPPC5,wald_stat,Reactome_2022
Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,-1.4265395155700324,0.3643501153227874,0.009389671361502348,ATP5MC1;NDUFB7;NDUFA1;NDUFC2;CS;COX7B;UQCRFS1;NDUFA13;UQCR11;COX5B;NDUFB6;NDUFB8;NDUFA12;SDHB;COQ10B;COX6A1;COX19;NDUFB1;ATP5ME;SURF1;UQCRQ;NDUFA10;NDUFS6;NDUFB11;LRPPRC;NDUFA9;DLST;COX8A;LDHA;NDUFS3;SDHA;COA1;IDH2;DMAC2L;NDUFV1;COX16;NDUFB9;UQCRC1;NDUFA5;NDUFS8,wald_stat,Reactome_2022
Resolution Of AP Sites Via Multiple-Nucleotide Patch Replacement Pathway R-HSA-110373,1.4244672942676841,0.8217487993801923,0.05530973451327434,RPA3;RFC5;RFC4;PARP1;PARG,wald_stat,Reactome_2022
Keratan Sulfate/Keratin Metabolism R-HSA-1638074,-1.423791976830001,0.365801033892733,0.07850467289719626,B3GNT7;B3GNT2;SLC35D2;B4GALT4,wald_stat,Reactome_2022
Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,-1.4207810275793784,0.3686068792994147,0.062388591800356503,PIGT;MDGA1;PIGH;PIGS;LY6E;GPAA1,wald_stat,Reactome_2022
Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,-1.4203644061397676,0.3647905357655957,0.06715063520871144,RBM8A;MAGOH;RNPS1;DCP1A;PPP2CA;NCBP1,wald_stat,Reactome_2022
