Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Vasopressin Regulates Renal Water Homeostasis Via Aquaporins R-HSA-432040	17/42	1.994380e-01	3.283471e-01	0	0	1.369138e+00	2.207395e+00	PRKCA;ADCY7;GNG11;RAB11A;GNG2;GNGT2;ADCY9;GNG5;PRKAR2B;PRKAR1A;PRKAR2A;GNB2;GNB1;GNAS;GNB5;RAB11FIP2;PRKACB
Reactome_2022	Elevation Of Cytosolic Ca2+ Levels R-HSA-139853	7/15	1.997556e-01	3.283471e-01	0	0	1.761345e+00	2.836929e+00	P2RX7;P2RX4;STIM1;ITPR1;ITPR2;ORAI1;ITPR3
Reactome_2022	GRB2:SOS Provides Linkage To MAPK Signaling For Integrins R-HSA-354194	7/15	1.997556e-01	3.283471e-01	0	0	1.761345e+00	2.836929e+00	APBB1IP;RAP1B;ITGB3;ITGA2B;GRB2;SOS1;TLN1
Reactome_2022	Glycogen Storage Diseases R-HSA-3229121	7/15	1.997556e-01	3.283471e-01	0	0	1.761345e+00	2.836929e+00	GYS1;G6PC3;UBB;GAA;GBE1;UBC;GYG1
Reactome_2022	Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975	7/15	1.997556e-01	3.283471e-01	0	0	1.761345e+00	2.836929e+00	ZBP1;TBK1;IRF3;UBB;UBC;TRIM21;TRIM32
Reactome_2022	Post-chaperonin Tubulin Folding Pathway R-HSA-389977	10/23	2.023405e-01	3.322786e-01	0	0	1.548556e+00	2.474287e+00	TUBA1C;TUBA1B;TUBA1A;TUBB;TBCD;TBCC;TBCB;TBCA;TUBB4B;TUBA4A
Reactome_2022	Fatty Acid Metabolism R-HSA-8978868	63/173	2.049826e-01	3.362966e-01	0	0	1.153814e+00	1.828599e+00	SLC25A1;PECR;ACADVL;ECI1;ECI2;PRKAG2;DBI;PCTP;CROT;FADS2;CPT2;NUDT19;MLYCD;MMUT;ACAA1;HADH;PTGDS;ACOT9;ELOVL1;CPT1A;PRKAB2;ABCC1;ACOT7;ELOVL5;ACSL5;ACSL4;ELOVL6;ACSL3;ALDH3A2;HADHB;ACLY;HADHA;SLC25A17;PCCA;ACOX1;MAPKAPK2;PCCB;ACOT2;ACOX3;ACOT4;ECHS1;HPGD;PON2;HSD17B4;HSD17B12;HACD3;HACD2;HSD17B8;HACD4;THEM4;LTA4H;SLC25A20;DECR1;ACBD6;ACBD5;PTGES3;SCD5;AKR1C3;ACSF3;FASN;ALOX5AP;PPT1;CRAT
Reactome_2022	Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	40/107	2.055212e-01	3.365581e-01	0	0	1.202442e+00	1.902512e+00	ITGB1;RNASEH2A;ITGAM;CEBPD;ITGB2;F13A1;FASLG;GATA3;PIK3R1;FOXO3;IL2RG;HIF1A;FOXO1;ICAM1;HSP90B1;SOCS1;LONP1;ITGAX;S1PR1;AKT1;STAT6;JAK2;JAK3;MCL1;SOCS5;JAK1;HSPA8;HSP90AA1;IL4R;POU2F1;TGFB1;STAT1;STAT3;FOS;TYK2;TNFRSF1B;ZEB1;IRF4;BCL2;SOS1
Reactome_2022	ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389	18/45	2.069442e-01	3.365581e-01	0	0	1.342293e+00	2.114523e+00	H2AX;HDAC2;H2AC6;HDAC1;EHMT2;H2BC4;CHD4;CHD3;GATAD2B;GATAD2A;H2BC12;MTA1;RBBP4;H2AC20;RBBP7;ERCC6;MTA2;MTA3
Reactome_2022	Activation Of NOXA And Translocation To Mitochondria R-HSA-111448	3/5	2.078799e-01	3.365581e-01	0	0	3.018984e+00	4.742205e+00	TFDP1;TFDP2;PMAIP1
Reactome_2022	Chylomicron Clearance R-HSA-8964026	3/5	2.078799e-01	3.365581e-01	0	0	3.018984e+00	4.742205e+00	LIPC;LDLRAP1;LDLR
Reactome_2022	Defective LFNG Causes SCDO3 R-HSA-5083630	3/5	2.078799e-01	3.365581e-01	0	0	3.018984e+00	4.742205e+00	LFNG;NOTCH2;NOTCH1
