donor_id,age_group,assay,bright_cells,dim_cells,total_cells,ratio,bright_percent,dim_percent
KR_SGI_H138,adult,10x 5' v2,16,232,248,0.06896551724137931,6.451612903225806,93.54838709677419
KR_SGI_H141,adult,10x 5' v2,3,445,448,0.006741573033707865,0.6696428571428571,99.33035714285714
KR_SGI_H143,adult,10x 5' v2,11,220,231,0.05,4.761904761904762,95.23809523809523
KR_SGI_H144,adult,10x 5' v2,0,854,854,0.0,0.0,100.0
KR_SGI_H145,adult,10x 5' v2,18,291,309,0.061855670103092786,5.825242718446602,94.1747572815534
KR_SGI_H149,adult,10x 5' v2,3,411,414,0.0072992700729927005,0.7246376811594203,99.27536231884058
KR_SGI_H153,old,10x 5' v2,11,237,248,0.046413502109704644,4.435483870967742,95.56451612903226
KR_SGI_H154,adult,10x 5' v2,0,304,304,0.0,0.0,100.0
KR_SGI_H155,adult,10x 5' v2,16,207,223,0.07729468599033816,7.174887892376682,92.82511210762333
KR_SGI_H156,adult,10x 5' v2,27,452,479,0.059734513274336286,5.6367432150313155,94.36325678496868
KR_SGI_H160,adult,10x 5' v2,0,563,563,0.0,0.0,100.0
KR_SGI_H163,adult,10x 5' v2,13,356,369,0.03651685393258427,3.523035230352303,96.4769647696477
LONZA3038097,adult,10x 5' v2,18,358,376,0.05027932960893855,4.787234042553192,95.2127659574468
SG_HEL_H002,adult,10x 5' v2,7,871,878,0.008036739380022962,0.7972665148063782,99.20273348519362
SG_HEL_H008,adult,10x 5' v2,2,262,264,0.007633587786259542,0.7575757575757576,99.24242424242425
SG_HEL_H011,old,10x 5' v2,6,369,375,0.016260162601626018,1.6,98.4
SG_HEL_H012,adult,10x 5' v2,8,338,346,0.023668639053254437,2.312138728323699,97.6878612716763
SG_HEL_H013,adult,10x 5' v2,9,328,337,0.027439024390243903,2.6706231454005933,97.3293768545994
SG_HEL_H017,adult,10x 5' v2,9,264,273,0.03409090909090909,3.296703296703297,96.7032967032967
SG_HEL_H027,adult,10x 5' v2,4,233,237,0.017167381974248927,1.6877637130801686,98.31223628691983
SG_HEL_H02a,adult,10x 5' v2,1,293,294,0.0034129692832764505,0.3401360544217687,99.65986394557824
SG_HEL_H030,adult,10x 5' v2,4,375,379,0.010666666666666666,1.0554089709762533,98.94459102902374
SG_HEL_H031,adult,10x 5' v2,6,289,295,0.020761245674740483,2.0338983050847457,97.96610169491525
SG_HEL_H044,adult,10x 5' v2,14,179,193,0.0782122905027933,7.253886010362693,92.74611398963731
SG_HEL_H045,adult,10x 5' v2,1,198,199,0.005050505050505051,0.5025125628140703,99.49748743718592
SG_HEL_H04a,adult,10x 5' v2,8,254,262,0.031496062992125984,3.0534351145038165,96.94656488549617
SG_HEL_H051,adult,10x 5' v2,11,206,217,0.05339805825242718,5.0691244239631335,94.93087557603687
SG_HEL_H052,adult,10x 5' v2,13,327,340,0.039755351681957186,3.823529411764706,96.17647058823529
SG_HEL_H056,adult,10x 5' v2,20,305,325,0.06557377049180328,6.153846153846154,93.84615384615384
SG_HEL_H05a,adult,10x 5' v2,4,289,293,0.01384083044982699,1.3651877133105803,98.63481228668942
SG_HEL_H060,adult,10x 5' v2,2,379,381,0.005277044854881266,0.5249343832020997,99.47506561679789
SG_HEL_H062,old,10x 5' v2,1,331,332,0.0030211480362537764,0.30120481927710846,99.69879518072288
SG_HEL_H067,adult,10x 5' v2,6,258,264,0.023255813953488372,2.272727272727273,97.72727272727273
SG_HEL_H069,old,10x 5' v2,1,201,202,0.004975124378109453,0.49504950495049505,99.5049504950495
SG_HEL_H072,adult,10x 5' v2,6,235,241,0.02553191489361702,2.4896265560165975,97.5103734439834
SG_HEL_H073,adult,10x 5' v2,1,368,369,0.002717391304347826,0.27100271002710025,99.7289972899729
SG_HEL_H074,adult,10x 5' v2,3,246,249,0.012195121951219513,1.2048192771084338,98.79518072289156
SG_HEL_H083,adult,10x 5' v2,5,436,441,0.011467889908256881,1.1337868480725624,98.86621315192744
SG_HEL_H103,adult,10x 5' v2,9,216,225,0.041666666666666664,4.0,96.0
SG_HEL_H109,adult,10x 5' v2,5,234,239,0.021367521367521368,2.092050209205021,97.90794979079497
SG_HEL_H10a,adult,10x 5' v2,3,341,344,0.008797653958944282,0.872093023255814,99.12790697674419
SG_HEL_H111,adult,10x 5' v2,3,239,242,0.012552301255230125,1.2396694214876034,98.7603305785124
SG_HEL_H113,old,10x 5' v2,12,290,302,0.041379310344827586,3.9735099337748347,96.02649006622516
SG_HEL_H11a,adult,10x 5' v2,4,356,360,0.011235955056179775,1.1111111111111112,98.88888888888889
