Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Metabolism Of Lipids R-HSA-556833,303/732,1.4324077341728122e-06,8.217245701704699e-06,0,0,1.441231484311806,19.393432513417423,GLTP;PI4K2B;LPGAT1;CERK;ECI1;PITPNB;ECI2;GBA2;CPNE1;PIP4K2A;PIP4K2B;CPNE3;MLYCD;MMUT;PIP4K2C;PTGDS;PRKACB;ACOT9;STARD3;ARSA;PRKAB2;STARD4;CPT1A;ACOT7;STARD7;SACM1L;CSNK2A2;MED8;MED9;ACSL5;PRKCA;ACSL4;ACSL3;PISD;RUFY1;INPP4A;SOAT1;CSNK2B;ACOT2;FAR1;PRKD2;TRIB3;CLOCK;ACOT4;PI4K2A;MTMR1;MTMR2;MTMR3;SAR1B;PIK3R4;PIK3R3;PIK3R1;HACD3;PLA2G6;HACD2;MTMR6;HACD4;PIK3R5;PGS1;UGCG;PTDSS1;INPP5F;PTPMT1;INPP5D;ARSK;PIP5K1A;INPP5K;SCAP;LTA4H;PIP5K1C;ARSD;FDFT1;DECR1;CTSA;CREBBP;CHKB;MED13L;SQLE;FASN;ACER3;PPT1;PEMT;CDS2;ARHGAP9;MTMR12;SLC44A1;SLC44A2;HEXB;MTMR14;LPCAT1;PRKAG2;MIA3;CROT;MED16;MED15;MED12;LMBR1;MED14;ARV1;GLIPR1;MED13;PIP4P1;SMPD4;SPTLC1;SPTLC2;TSPO;LDLRAP1;NCOA1;ELOVL1;NCOA2;SREBF1;STARD3NL;ELOVL5;NCOA6;NCOA3;ELOVL6;PLAAT3;PLAAT2;MED27;MED26;PLAAT4;MED29;SREBF2;SUMF1;HADHB;MED23;NCOR2;HADHA;MED22;MED25;BDH2;MED24;NCOR1;PITPNM1;MED21;AGPS;MED20;PITPNM2;PLIN2;PPARA;ECHS1;SAMD8;SGMS1;GPS2;HSD17B4;GDPD5;HSD17B8;RXRB;GPAT4;ORMDL2;ORMDL3;SC5D;SPTSSB;CEPT1;TBL1X;MBD4;NFYA;AGK;NFYB;PLEKHA2;PNPLA8;NR1H2;NFYC;PTGES3;SCD5;AKR1C3;PLEKHA5;ORMDL1;PLEKHA3;PLEKHA8;PPP1CA;LPCAT4;ETNK1;LPCAT3;ESYT2;ESYT1;PNPLA6;CRAT;BMAL1;PNPLA2;PECR;CLSTN1;INPPL1;MSMO1;LCLAT1;FADS2;PPP1CC;OSBP;NUDT19;EP300;ACAA1;HADH;SBF1;PIAS4;MIGA2;DGAT1;MIGA1;ALDH3A2;ACLY;TBL1XR1;GPD2;MAPKAPK2;CSNK1G2;KPNB1;IDI1;ABHD4;INSIG2;INSIG1;NRF1;MED31;THEM4;CERT1;OSBPL9;OSBPL8;ACBD6;FDPS;OSBPL7;ACBD5;UBE2I;OSBPL5;SRD5A1;OSBPL3;OSBPL2;DHCR24;ACSF3;CRLS1;CDK8;SYNJ1;PI4KA;DEGS1;DHCR7;PI4KB;RAB5A;SLC25A1;ACADVL;TNFAIP8;ALAS1;PRKCSH;PTEN;DBI;PCTP;PIK3C2A;PIK3CG;SIN3B;CPT2;SIN3A;SUMO2;CYP2R1;LBR;PLA2G12A;ABCC1;CERS6;GGPS1;HMGCS1;SH2D3C;GPCPD1;SLC25A17;PCCA;PIK3CA;ACOX1;THRAP3;CPTP;PCCB;PIK3C3;MVD;ACOX3;CERS2;VAC14;PPM1L;HPGD;TAFAZZIN;PON2;HSD17B12;HMGCR;AGPAT1;SELENOI;OXCT1;FAM120B;SLC25A20;TSPOAP1;MBTPS1;SEC24B;SEC24A;MBOAT7;TXNRD1;CYP51A1;DDHD2;DDHD1;SGPP1;GALC;PIKFYVE;RAB14;VAPB;GLB1;CARM1;ALOX5AP;CHPT1;GPD1L;SEC24D;LPIN1;SEC24C;LPIN2;RAN
Reactome_2022,MAP Kinase Activation R-HSA-450294,39/62,1.5687299825738358e-06,8.939683112614474e-06,0,0,3.4259828879682264,45.78909790305153,CUL1;NOD1;IKBKB;PPP2CA;MAPK9;PPP2CB;MAPK8;MAPK7;PPP2R1B;IRAK1;UBB;PPP2R1A;IRAK2;UBC;MAPK1;MAP3K8;IKBKG;BTRC;MAP3K7;MAP2K6;MAPK3;MEF2A;MAP2K4;MAP2K1;JUN;CHUK;FBXW11;RIPK2;PPP2R5D;FOS;MAPK14;NFKB1;CREB1;TRAF6;MAPKAPK2;UBE2N;TAB3;TAB2;TAB1
Reactome_2022,Signaling By BRAF And RAF1 Fusions R-HSA-6802952,39/62,1.5687299825738358e-06,8.939683112614474e-06,0,0,3.4259828879682264,45.78909790305153,CAMK2D;YWHAB;FAM114A2;ITGB3;ITGA2B;ARAF;PEBP1;IQGAP1;ZC3HAV1;TRAK1;PAPSS1;FXR1;RAP1B;NRAS;BCL2L11;MPRIP;LMNA;TRIM24;MAPK1;CSK;JAK2;HRAS;ATG7;CAMK2G;MAPK3;MAP2K1;MAP2K2;AGK;AGTRAP;AP3B1;BRAF;SND1;QKI;APBB1IP;AGGF1;TLN1;CALM1;KDM7A;VCL
Reactome_2022,rRNA Modification In Nucleus And Cytosol R-HSA-6790901,38/60,1.6676371145617517e-06,9.471958660596617e-06,0,0,3.4896037013577152,46.42604649595921,UTP25;WDR3;SPPL2A;HEATR1;NOP2;FCF1;NAT10;NOC4L;THUMPD1;PWP2;WDR43;RRP9;FBL;TRMT112;PDCD11;BMS1;DHX37;RRP36;UTP20;UTP14A;WDR36;NOP14;NOP58;UTP6;UTP11;UTP4;DIMT1;KRR1;PNO1;UTP3;WDR75;IMP4;UTP18;RCL1;TBL3;DKC1;NOL11;NOP10
Reactome_2022,CD28 Co-Stimulation R-HSA-389356,25/34,1.7448432083916736e-06,9.87787882119102e-06,0,0,5.6063660031914,74.33394266136762,MAPKAP1;PIK3R3;PIK3R1;CDC42;AKT2;GRAP2;AKT3;MLST8;AKT1;THEM4;FYN;MAP3K8;LYN;YES1;PDPK1;MTOR;VAV1;PIK3CA;LCK;GRB2;PKN2;TRIB3;PKN1;ARHGEF7;MAP3K14
Reactome_2022,Antigen processing-Cross Presentation R-HSA-1236975,58/104,1.7643924360975349e-06,9.95580125417658e-06,0,0,2.550473623716856,33.7879200238642,HMGB1;IKBKB;PSMD9;SEC61A1;PSMD6;PSMD7;PSMD4;PSMD5;PSMD2;SEC61G;PSMD3;ITGAV;IKBKG;SEC61B;B2M;PDIA3;CHUK;HLA-B;HLA-C;CYBA;HLA-A;HLA-F;HLA-E;TAPBP;TLR1;VAMP8;PSMA6;PSMA4;PSMA1;PSMA2;PSME3;PSME4;PSME1;PSME2;S100A9;VAMP3;PSMD10;PSMD12;PSMD11;PSMD14;PSMA7;PSMB10;PSMB7;PSMB5;UBB;PSMB2;PSMB3;UBC;PSMB1;PSMF1;NDUFA2;LNPEP;PSMB9;PSMC6;PSMC3;PSMC1;CALR;MYD88
Reactome_2022,SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796,26/36,1.9000591948081637e-06,1.0686280634852448e-05,0,0,5.247958875113396,69.13464494996396,CCNK;CCNT2;RNASEH2A;CCNT1;HDAC1;FURIN;YBX1;UBB;UBC;EP300;MAPK1;E2F4;RNF111;MAPK3;MEN1;SMAD2;TGIF1;SMAD4;SMAD3;TGIF2;SMAD7;CDK9;CDK8;RBL1;TFDP1;TFDP2
Reactome_2022,FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050,35/54,1.944044330425061e-06,1.0898046555900753e-05,0,0,3.720745846448066,48.93056141306087,PSMD10;PSMD12;PSMD11;PSMD14;CUL1;PSMA7;PSMB10;PSMD9;PSMB7;PSMD6;PSMD7;PSMB5;PSMD4;PSMB2;UBB;PSMD5;PSMB3;PSMD2;PSMD3;PSMB1;UBC;PSMF1;RBX1;PSMB9;PSMA6;PSMA4;PSMC6;PSMA1;PSMC3;PSMA2;PSME3;PSMC1;PSME4;PSME1;PSME2
Reactome_2022,Signaling By VEGF R-HSA-194138,57/102,1.978883704187233e-06,1.1057333944500742e-05,0,0,2.562003139399464,33.64672998948158,CYFIP2;AHCYL1;ITGB3;BRK1;HSPB1;SYNGAP1;AKT2;AKT3;MLST8;NCK2;AKT1;ITGAV;PRKACB;HRAS;VAV3;HSP90AA1;PRKCB;PDPK1;PRKCD;CYBA;PRKCA;RHOA;VAV1;PIK3CA;MAPKAPK2;ELMO1;ELMO2;TRIB3;ARHGEF7;CRK;ROCK2;MAPKAP1;SH2D2A;ITPR1;ITPR2;ITPR3;PIK3R1;PRKCZ;CDC42;NRAS;CTNNA1;THEM4;PTK2B;NCKAP1L;FYN;PLCG1;WASF2;VEGFB;MAPK14;MTOR;MAPK13;ABI2;ABI1;CTNNB1;PKN2;PKN1;CALM1
Reactome_2022,HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497,27/38,2.0194949206236823e-06,1.124773708217915e-05,0,0,4.9547447864399325,64.96989921585093,DCTN6;DCTN5;DYNC1I2;HSP90AB1;DCTN1;DCTN4;NR3C1;AREG;DNAJB1;STIP1;ACTR1A;DYNC1H1;HSPA8;HSP90AA1;PTGES3;DYNLL1;DYNLL2;DNAJA1;DYNC1LI1;DYNC1LI2;DNAJA4;DNAJA2;FKBP4;ACTR10;HSPA1B;FKBP5;HSPA1A
Reactome_2022,Retrograde Transport At Trans-Golgi-Network R-HSA-6811440,32/48,2.1363971719072083e-06,1.186045010597518e-05,0,0,4.038740920096853,52.73137539958456,SYS1;TMF1;STX16;GCC2;GCC1;RABEPK;NAPG;TGOLN2;GOLGA4;VPS51;GOLGA1;VPS52;STX6;VTI1A;ARFIP2;VPS54;RAB6A;NSF;COG8;NAA30;RIC1;COG6;COG5;COG4;COG3;COG2;COG1;IGF2R;NAA35;NAA38;VAMP4;VAMP3
Reactome_2022,Intra-Golgi Traffic R-HSA-6811438,29/42,2.153941027626588e-06,1.188119393764538e-05,0,0,4.503717580256682,58.765458882487415,STX16;GOSR1;GOLIM4;NAPG;CYTH3;CUX1;MAN2A2;MAN1A2;MAN2A1;STX6;VTI1A;MAN1A1;SNAP29;YKT6;CYTH1;NSF;COG8;RIC1;COG6;COG5;COG4;COG3;COG2;COG1;BET1L;RAB33B;GOLGA8B;TRIP11;VPS45
Reactome_2022,tRNA Aminoacylation R-HSA-379724,29/42,2.153941027626588e-06,1.188119393764538e-05,0,0,4.503717580256682,58.765458882487415,AARS1;YARS1;YARS2;FARS2;NARS1;QARS1;IARS2;IARS1;VARS2;VARS1;RARS2;RARS1;MARS1;DARS1;WARS2;AIMP2;GARS1;LARS2;SARS2;EPRS1;PPA1;LARS1;TARS2;CARS1;EEF1E1;FARSA;CARS2;TARS1;FARSB
Reactome_2022,Interleukin-12 Signaling R-HSA-9020591,30/44,2.1738252580673143e-06,1.1952566355060216e-05,0,0,4.326561486924573,56.41413106381111,RALA;PITPNA;BOLA2B;LMNB1;CDC42;CNN2;RAP1B;HNRNPDL;VPS72;STAT4;JAK2;IL12RB2;JAK1;HSPA9;GSTO1;MSN;TYK2;TOX4;MTAP;IFNG;HNRNPF;HNRNPA2B1;TCP1;PDCD4;PSME2;PKN2;SNRPA1;AURKAIP1;PPIA;S100A9
Reactome_2022,Circadian Clock R-HSA-400253,42/69,2.214893221321576e-06,1.213958991686125e-05,0,0,3.143410461082483,40.92816722703348,CRTC2;CRTC3;CREM;CUL1;HSD17B4;NR3C1;HIF1A;PPP1CC;RBM4;NFIL3;UBB;NOCT;NRIP1;UBC;EP300;TBL1X;BTRC;MEF2D;NCOA1;NCOA2;SREBF1;MBD4;CPT1A;CREBBP;NCOA6;CSNK1D;CSNK1E;SIRT1;PPP1CA;PER2;PER1;CREB1;NCOR1;TBL1XR1;CARM1;CRY2;BHLHE40;CRY1;FBXL3;PPARA;CLOCK;BMAL1
Reactome_2022,Clathrin-mediated Endocytosis R-HSA-8856828,74/142,2.4138464889802244e-06,1.318803113503164e-05,0,0,2.202988658149827,28.494092032741584,ITSN2;SCARB2;HIP1;TFRC;SH3KBP1;ARPC1A;CLTC;CLTB;CLTA;WASL;PIK3C2A;AP2A2;AREG;CD3D;SLC2A8;LDLRAP1;AP2M1;AGFG1;SH3GL1;ACTR3;ACTR2;FNBP1;EPS15L1;GAPVD1;ARFGAP1;EPN1;DNM2;GAK;VAMP8;HGS;VAMP4;STAM2;VAMP2;VAMP3;RAB5B;GPS1;COPS7A;NEDD8;ADRB2;CBL;TGOLN2;GRK2;UBB;FCHO1;UBC;FCHO2;DVL2;PACSIN2;AP2S1;UBQLN1;PIP5K1C;EPS15;LDLR;REPS1;UBQLN2;HSPA8;HIP1R;STAM;AP2B1;TOR1B;IGF2R;COPS4;COPS3;COPS6;SNX18;ARPC2;SYNJ1;ARPC3;COPS2;GRB2;COPS8;IL7R;RAB5A;PICALM
Reactome_2022,RNA Polymerase III Transcription Initiation From Type 1 Promoter R-HSA-76061,21/27,2.619955157028651e-06,1.4268806409007303e-05,0,0,7.061338570781085,90.75481847785866,GTF3C1;GTF3C2;GTF3C3;CRCP;GTF3C4;TBP;GTF3C5;BRF1;GTF3C6;GTF3A;POLR3A;POLR3B;POLR3C;POLR3D;POLR3E;POLR3F;POLR2F;POLR3H;BDP1;POLR2K;POLR2L
Reactome_2022,Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136,17/20,2.641944238659703e-06,1.4298069291614304e-05,0,0,11.42830540037244,146.78510265293468,RB1;ANAPC16;ANAPC7;UBE2D1;ANAPC10;ANAPC11;FZR1;CDC23;UBE2S;CDC26;CDC16;CDC27;ANAPC4;ANAPC5;SKP2;ANAPC1;ANAPC2
